Constituency,Province / Territory,Honorific Title,First Name,Last Name,Political Affiliation
Abbotsford—South Langley,British Columbia,,Sukhman,Gill,Conservative
Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Hon.,Mandy,Gull-Masty,Liberal
Abitibi—Témiscamingue,Quebec,,Sébastien,Lemire,Bloc Québécois
Acadie—Annapolis,Nova Scotia,,Chris,d'Entremont,Conservative
Acadie—Bathurst,New Brunswick,,Serge,Cormier,Liberal
Ahuntsic-Cartierville,Quebec,Hon.,Mélanie,Joly,Liberal
Airdrie—Cochrane,Alberta,,Blake,Richards,Conservative
Ajax,Ontario,,Jennifer,McKelvie,Liberal
Alfred-Pellan,Quebec,,Angelo,Iacono,Liberal
Algonquin—Renfrew—Pembroke,Ontario,,Cheryl,Gallant,Conservative
Argenteuil—La Petite-Nation,Quebec,,Stéphane,Lauzon,Liberal
Aurora—Oak Ridges—Richmond Hill,Ontario,,Costas,Menegakis,Conservative
Avalon,Newfoundland and Labrador,,Paul,Connors,Liberal
Barrie South—Innisfil,Ontario,,John,Brassard,Conservative
Barrie—Springwater—Oro-Medonte,Ontario,,Doug,Shipley,Conservative
Battle River—Crowfoot,Alberta,,,,
Battlefords—Lloydminster—Meadow Lake,Saskatchewan,,Rosemarie,Falk,Conservative
Bay of Quinte,Ontario,,Chris,Malette,Liberal
Beaches—East York,Ontario,Hon.,Nathaniel,Erskine-Smith,Liberal
Beauce,Quebec,,Jason,Groleau,Conservative
Beauharnois—Salaberry—Soulanges—Huntingdon,Quebec,,Claude,DeBellefeuille,Bloc Québécois
Beauport—Limoilou,Quebec,,Steeve,Lavoie,Liberal
Beauséjour,New Brunswick,Hon.,Dominic,LeBlanc,Liberal
Bécancour—Nicolet—Saurel—Alnôbak,Quebec,,Louis,Plamondon,Bloc Québécois
Bellechasse—Les Etchemins—Lévis,Quebec,,Dominique,Vien,Conservative
Beloeil—Chambly,Quebec,,Yves-François,Blanchet,Bloc Québécois
Berthier—Maskinongé,Quebec,,Yves,Perron,Bloc Québécois
Bourassa,Quebec,,Abdelhaq,Sari,Liberal
Bow River,Alberta,,David,Bexte,Conservative
Bowmanville—Oshawa North,Ontario,,Jamil,Jivani,Conservative
Brampton Centre,Ontario,,Amandeep,Sodhi,Liberal
Brampton East,Ontario,Hon.,Maninder,Sidhu,Liberal
Brampton North—Caledon,Ontario,Hon.,Ruby,Sahota,Liberal
Brampton South,Ontario,,Sonia,Sidhu,Liberal
Brampton West,Ontario,,Amarjeet,Gill,Conservative
Brampton—Chinguacousy Park,Ontario,Hon.,Shafqat,Ali,Liberal
Brandon—Souris,Manitoba,,Grant,Jackson,Conservative
Brantford—Brant South—Six Nations,Ontario,,Larry,Brock,Conservative
Brome—Missisquoi,Quebec,,Louis,Villeneuve,Liberal
Brossard—Saint-Lambert,Quebec,,Alexandra,Mendès,Liberal
Bruce—Grey—Owen Sound,Ontario,,Alex,Ruff,Conservative
Burlington,Ontario,Hon.,Karina,Gould,Liberal
Burlington North—Milton West,Ontario,Hon.,Adam,van Koeverden,Liberal
Burnaby Central,British Columbia,,Wade,Chang,Liberal
Burnaby North—Seymour,British Columbia,Hon.,Terry,Beech,Liberal
Calgary Centre,Alberta,,Greg,McLean,Conservative
Calgary Confederation,Alberta,,Corey,Hogan,Liberal
Calgary Crowfoot,Alberta,,Pat,Kelly,Conservative
Calgary East,Alberta,,Jasraj,Hallan,Conservative
Calgary Heritage,Alberta,,Shuvaloy,Majumdar,Conservative
Calgary McKnight,Alberta,,Dalwinder,Gill,Conservative
Calgary Midnapore,Alberta,,Stephanie,Kusie,Conservative
Calgary Nose Hill,Alberta,Hon.,Michelle,Rempel Garner,Conservative
Calgary Shepard,Alberta,,Tom,Kmiec,Conservative
Calgary Signal Hill,Alberta,,David,McKenzie,Conservative
Calgary Skyview,Alberta,,Amanpreet,Gill,Conservative
Cambridge,Ontario,,Connie,Cody,Conservative
Cape Breton—Canso—Antigonish,Nova Scotia,,Jaime,Battiste,Liberal
Cape Spear,Newfoundland and Labrador,,Tom,Osborne,Liberal
Cardigan,Prince Edward Island,,Kent,MacDonald,Liberal
Cariboo—Prince George,British Columbia,,Todd,Doherty,Conservative
Carleton,Ontario,,Bruce,Fanjoy,Liberal
Carlton Trail—Eagle Creek,Saskatchewan,,Kelly,Block,Conservative
Central Newfoundland,Newfoundland and Labrador,,Clifford,Small,Conservative
Central Nova,Nova Scotia,Hon.,Sean,Fraser,Liberal
Charlesbourg—Haute-Saint-Charles,Quebec,,Pierre,Paul-Hus,Conservative
Charlottetown,Prince Edward Island,,Sean,Casey,Liberal
Châteauguay—Les Jardins-de-Napierville,Quebec,Hon.,Nathalie,Provost,Liberal
Chatham-Kent—Leamington,Ontario,,Dave,Epp,Conservative
Chicoutimi—Le Fjord,Quebec,,Richard,Martel,Conservative
Chilliwack—Hope,British Columbia,,Mark,Strahl,Conservative
Churchill—Keewatinook Aski,Manitoba,Hon.,Rebecca,Chartrand,Liberal
Cloverdale—Langley City,British Columbia,,Tamara,Jansen,Conservative
Columbia—Kootenay—Southern Rockies,British Columbia,,Rob,Morrison,Conservative
Compton—Stanstead,Quebec,,Marianne,Dandurand,Liberal
Coquitlam—Port Coquitlam,British Columbia,,Ron,McKinnon,Liberal
Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,Quebec,,Bernard,Généreux,Conservative
Côte-Nord—Kawawachikamach—Nitassinan,Quebec,,Marilène,Gill,Bloc Québécois
Courtenay—Alberni,British Columbia,,Gord,Johns,NDP
Cowichan—Malahat—Langford,British Columbia,,Jeff,Kibble,Conservative
Cumberland—Colchester,Nova Scotia,,Alana,Hirtle,Liberal
Dartmouth—Cole Harbour,Nova Scotia,Hon.,Darren,Fisher,Liberal
Davenport,Ontario,,Julie,Dzerowicz,Liberal
Delta,British Columbia,Hon.,Jill,McKnight,Liberal
Desnethé—Missinippi—Churchill River,Saskatchewan,Hon.,Buckley,Belanger,Liberal
Don Valley North,Ontario,,Maggie,Chi,Liberal
Don Valley West,Ontario,Hon.,Robert,Oliphant,Liberal
Dorval—Lachine—LaSalle,Quebec,,Anju,Dhillon,Liberal
Drummond,Quebec,,Martin,Champoux,Bloc Québécois
Dufferin—Caledon,Ontario,,Kyle,Seeback,Conservative
Edmonton Centre,Alberta,Hon.,Eleanor,Olszewski,Liberal
Edmonton Gateway,Alberta,Hon.,Tim,Uppal,Conservative
Edmonton Griesbach,Alberta,,Kerry,Diotte,Conservative
Edmonton Manning,Alberta,,Ziad,Aboultaif,Conservative
