These results were downloaded and refreshed on June      25, 2025 at 0:00 a.m. ET. / Ces résultats ont été téléchargés et rafraichis le 25 juin 2025 à 0h HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
10001	Avalon	Avalon	preliminary	préliminaires	Connors		Paul	Liberal	Libéral	27133	58.2	0	46596
10001	Avalon	Avalon	preliminary	préliminaires	Kent		Steve	Conservative	Conservateur	16953	36.4	0	46596
10001	Avalon	Avalon	preliminary	préliminaires	Tilley		Alexander	Parti Rhinocéros Party	Parti Rhinocéros Party	230	.5	0	46596
10001	Avalon	Avalon	preliminary	préliminaires	Vanta		Judy	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2280	4.9	0	46596
10001	Avalon	Avalon	validated	validés	Connors		Paul	Liberal	Libéral	27563	58.6	389	47419
10001	Avalon	Avalon	validated	validés	Kent		Steve	Conservative	Conservateur	16953	36	389	47419
10001	Avalon	Avalon	validated	validés	Tilley		Alexander	Parti Rhinocéros Party	Parti Rhinocéros Party	230	.5	389	47419
10001	Avalon	Avalon	validated	validés	Vanta		Judy	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2284	4.9	389	47419
10002	Cape Spear	Cape Spear	preliminary	préliminaires	Curtis		Corey	Conservative	Conservateur	11844	25.8	0	45987
10002	Cape Spear	Cape Spear	preliminary	préliminaires	Osborne		Tom	Liberal	Libéral	31387	68.3	0	45987
10002	Cape Spear	Cape Spear	preliminary	préliminaires	Peach		Mike	Animal Protection Party	Parti Protection Animaux	170	.4	0	45987
10002	Cape Spear	Cape Spear	preliminary	préliminaires	Tingate		Kaelem	Green Party	Parti Vert	140	.3	0	45987
10002	Cape Spear	Cape Spear	preliminary	préliminaires	Walsh		Brenda	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2446	5.3	0	45987
10002	Cape Spear	Cape Spear	validated	validés	Curtis		Corey	Conservative	Conservateur	11844	25.8	451	46439
10002	Cape Spear	Cape Spear	validated	validés	Osborne		Tom	Liberal	Libéral	31388	68.3	451	46439
10002	Cape Spear	Cape Spear	validated	validés	Peach		Mike	Animal Protection Party	Parti Protection Animaux	170	.4	451	46439
10002	Cape Spear	Cape Spear	validated	validés	Tingate		Kaelem	Green Party	Parti Vert	140	.3	451	46439
10002	Cape Spear	Cape Spear	validated	validés	Walsh		Brenda	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2446	5.3	451	46439
10003	Central Newfoundland	Central Newfoundland	preliminary	préliminaires	Powell		Lynette	Liberal	Libéral	17696	43.5	0	40637
10003	Central Newfoundland	Central Newfoundland	preliminary	préliminaires	Small		Clifford	Conservative	Conservateur	21976	54.1	0	40637
10003	Central Newfoundland	Central Newfoundland	preliminary	préliminaires	Vincent		Darian	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	965	2.4	0	40637
10003	Central Newfoundland	Central Newfoundland	validated	validés	Powell		Lynette	Liberal	Libéral	17696	43.5	492	41128
10003	Central Newfoundland	Central Newfoundland	validated	validés	Small		Clifford	Conservative	Conservateur	21975	54.1	492	41128
10003	Central Newfoundland	Central Newfoundland	validated	validés	Vincent		Darian	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	965	2.4	492	41128
10004	Labrador	Labrador	preliminary	préliminaires	Earle		Philip	Liberal	Libéral	5811	51.5	0	11284
10004	Labrador	Labrador	preliminary	préliminaires	Normore		Marius	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	764	6.8	0	11284
10004	Labrador	Labrador	preliminary	préliminaires	Wallace		Ella	Conservative	Conservateur	4709	41.7	0	11284
10004	Labrador	Labrador	validated	validés	Earle		Philip	Liberal	Libéral	5811	51.5	168	11452
10004	Labrador	Labrador	validated	validés	Normore		Marius	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	764	6.8	168	11452
10004	Labrador	Labrador	validated	validés	Wallace		Ella	Conservative	Conservateur	4709	41.7	168	11452
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Anstey		Carol	Conservative	Conservateur	23232	50.3	0	46143
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Bradshaw		Don	Liberal	Libéral	19726	42.7	0	46143
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Coles		Robbie	Independent	Indépendant(e)	637	1.4	0	46143
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Geiger		Pamela	People's Party - PPC	Parti populaire - PPC	535	1.2	0	46143
10005	Long Range Mountains	Long Range Mountains	preliminary	préliminaires	Parsons		Sarah	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2013	4.4	0	46143
10005	Long Range Mountains	Long Range Mountains	validated	validés	Anstey		Carol	Conservative	Conservateur	23232	50.3	452	46595
10005	Long Range Mountains	Long Range Mountains	validated	validés	Bradshaw		Don	Liberal	Libéral	19726	42.7	452	46595
10005	Long Range Mountains	Long Range Mountains	validated	validés	Coles		Robbie	Independent	Indépendant(e)	637	1.4	452	46595
10005	Long Range Mountains	Long Range Mountains	validated	validés	Geiger		Pamela	People's Party - PPC	Parti populaire - PPC	537	1.2	452	46595
10005	Long Range Mountains	Long Range Mountains	validated	validés	Parsons		Sarah	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2011	4.4	452	46595
10006	St. John's East	St. John's-Est	preliminary	préliminaires	Brazil		David	Conservative	Conservateur	11915	26	0	45859
10006	St. John's East	St. John's-Est	preliminary	préliminaires	Crandell		Otis	Green Party	Parti Vert	159	.3	0	45859
10006	St. John's East	St. John's-Est	preliminary	préliminaires	Crête		Samuel	Communist	Communiste	94	.2	0	45859
10006	St. John's East	St. John's-Est	preliminary	préliminaires	Shortall		Mary	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5137	11.2	0	45859
10006	St. John's East	St. John's-Est	preliminary	préliminaires	Thompson		Joanne	Liberal	Libéral	28554	62.3	0	45859
10006	St. John's East	St. John's-Est	validated	validés	Brazil		David	Conservative	Conservateur	11941	25.9	440	46491
10006	St. John's East	St. John's-Est	validated	validés	Crandell		Otis	Green Party	Parti Vert	159	.3	440	46491
10006	St. John's East	St. John's-Est	validated	validés	Crête		Samuel	Communist	Communiste	98	.2	440	46491
10006	St. John's East	St. John's-Est	validated	validés	Shortall		Mary	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5172	11.2	440	46491
